"SCD"	"Transcripts"	"Gender"	"Age"	"Ethnicity"	"Education"	"Occupation"	"Languages"	"First.Lang"	"Partner.ID"	"Relationship"	"conv"	"ah"	"lah"	"lor"	"leh"	"hor"	"mah"	"meh"	"sia"
"3063-2"	"Same Room"	"M"	"3X"	"CHINESE"	"BACHELOR"	"MANAGEMENT"	"ENGLISH, CHINESE"	"ENGLISH"	"3063-1"	"PARTNER"	"3063"	13	3	1	0	0	0	0	0

"3064-1"	"Same Room"	"F"	"5X"	"CHINESE"	"BACHELOR"	"N/A"	"ENGLISH, CHINESE"	"ENGLISH"	"3064-2"	"FRIENDS"	"3064"	224	138	16	44	7	6	1	0

"3064-2"	"Same Room"	"F"	"5X"	"CHINESE"	"O-LEVEL"	"HOMEMAKER"	"ENGLISH, CHINESE"	"ENGLISH"	"3064-1"	"FRIENDS"	"3064"	195	102	10	30	1	26	0	0

"3065-1"	"Same Room"	"F"	"2X"	"CHINESE"	"BACHELOR"	"STUDENT"	"ENGLISH, CHINESE"	"ENGLISH"	"3065-2"	"FRIENDS"	"3065"	17	24	1	0	1	0	0	0

"3065-2"	"Same Room"	"F"	"2X"	"CHINESE"	"BACHELOR"	"STUDENT"	"ENGLISH, CHINESE"	"ENGLISH"	"3065-1"	"FRIENDS"	"3065"	5	0	0	2	0	0	0	0

"3066-1"	"Same Room"	"F"	"2X"	"CHINESE"	"BACHELOR"	"STUDENT"	"ENGLISH"	"ENGLISH"	"3066-2"	"FRIENDS"	"3066"	25	29	4	2	2	0	0	2

"3066-2"	"Same Room"	"F"	"4X"	"CHINESE"	"BACHELOR"	"FINANCE"	"ENGLISH"	"ENGLISH"	"3066-1"	"FRIENDS"	"3066"	32	49	6	2	1	0	1	2

"3067-1"	"Same Room"	"F"	"2X"	"MALAY"	"DIPLOMA"	"STUDENT"	"ENGLISH"	"ENGLISH"	"3067-2"	"FRIENDS"	"3067"	140	141	2	12	0	1	1	3

"3067-2"	"Same Room"	"F"	"2X"	"CHINESE"	"BACHELOR"	"STUDENT"	"ENGLISH, CHINESE"	"ENGLISH"	"3067-1"	"FRIENDS"	"3067"	22	51	7	3	0	0	0	0

"3068-1"	"Same Room"	"F"	"2X"	"CHINESE"	"BACHELOR"	"STUDENT"	"ENGLISH, CHINESE"	"ENGLISH"	"3068-2"	"FRIENDS"	"3068"	1	4	0	0	0	0	0	0

"3068-2"	"Same Room"	"F"	"2X"	"CHINESE"	"BACHELOR"	"STUDENT"	"ENGLISH"	"ENGLISH"	"3068-1"	"FRIENDS"	"3068"	6	2	0	0	0	0	0	0

"3069-1"	"Same Room"	"M"	"3X"	"MALAY"	"BACHELOR"	"MICE"	"ENGLISH"	"ENGLISH"	"3069-2"	"FRIENDS"	"3069"	571	191	3	15	1	12	2	2

"3069-2"	"Same Room"	"M"	"4X"	"CHINESE"	"DIPLOMA"	"MICE"	"ENGLISH"	"ENGLISH"	"3069-1"	"FRIENDS"	"3069"	318	117	2	18	0	15	10	0

"3070-1"	"Same Room"	"F"	"2X"	"CHINESE"	"BACHELOR"	"STUDENT"	"ENGLISH"	"ENGLISH"	"3070-2"	"FRIENDS"	"3070"	60	50	18	6	2	10	14	2

"3070-2"	"Same Room"	"F"	"2X"	"CHINESE"	"BACHELOR"	"STUDENT"	"ENGLISH"	"ENGLISH"	"3070-1"	"FRIENDS"	"3070"	64	50	8	4	4	2	8	0

"3071-1"	"Same Room"	"F"	"2X"	"CHINESE"	"BACHELOR"	"STUDENT"	"ENGLISH"	"ENGLISH"	"3071-2"	"FRIENDS"	"3071"	200	135	61	55	2	5	4	0

"3071-2"	"Same Room"	"F"	"2X"	"CHINESE"	"BACHELOR"	"STUDENT"	"ENGLISH"	"ENGLISH"	"3071-1"	"FRIENDS"	"3071"	92	152	36	15	8	0	14	8

"3073-1"	"Same Room"	"M"	"2X"	"CHINESE"	"BACHELOR"	"N/A"	"ENGLISH"	"ENGLISH"	"3073-2"	"PARTNER"	"3073"	93	40	10	11	0	1	18	1

"3073-2"	"Same Room"	"F"	"2X"	"CHINESE"	"BACHELOR"	"N/A"	"ENGLISH"	"ENGLISH"	"3073-1"	"PARTNER"	"3073"	153	58	13	12	2	12	14	2

"3074-1"	"Same Room"	"M"	"2X"	"CHINESE"	"BACHELOR"	"N/A"	"ENGLISH"	"CHINESE"	"3074-2"	"PARTNER"	"3074"	153	106	5	8	1	7	4	1

"3074-2"	"Same Room"	"F"	"2X"	"CHINESE"	"BACHELOR"	"N/A"	"ENGLISH"	"CHINESE"	"3074-1"	"PARTNER"	"3074"	86	47	7	9	4	4	4	0

"3075-1"	"Same Room"	"M"	"2X"	"CHINESE"	"DIPLOMA"	"N/A"	"ENGLISH"	"ENGLISH"	"3075-2"	"PARTNER"	"3075"	38	48	9	9	1	4	2	0

"3075-2"	"Same Room"	"F"	"1X"	"CHINESE"	"BACHELOR"	"N/A"	"ENGLISH"	"ENGLISH"	"3075-1"	"PARTNER"	"3075"	71	52	7	6	0	0	7	2

"3076-1"	"Same Room"	"F"	"2X"	"CHINESE"	"BACHELOR"	"N/A"	"ENGLISH"	"CHINESE"	"3076-2"	"FRIENDS"	"3076"	35	20	0	0	0	2	0	0

"3076-2"	"Same Room"	"F"	"2X"	"CHINESE"	"BACHELOR"	"N/A"	"ENGLISH"	"CHINESE"	"3076-1"	"FRIENDS"	"3076"	90	21	0	1	0	0	0	2

"3077-1"	"Same Room"	"M"	"2X"	"CHINESE"	"BACHELOR"	"N/A"	"ENGLISH"	"CHINESE"	"3077-2"	"FRIENDS"	"3077"	142	98	10	4	0	0	1	1

"3077-2"	"Same Room"	"M"	"2X"	"CHINESE"	"BACHELOR"	"N/A"	"ENGLISH"	"CHINESE"	"3077-1"	"FRIENDS"	"3077"	51	49	0	0	0	0	0	0

"3078-1"	"Same Room"	"F"	"2X"	"CHINESE"	"BACHELOR"	"N/A"	"ENGLISH"	"ENGLISH"	"3078-2"	"FRIENDS"	"3078"	70	127	12	8	3	0	17	2

"3078-2"	"Same Room"	"F"	"2X"	"CHINESE"	"BACHELOR"	"N/A"	"ENGLISH"	"ENGLISH"	"3078-1"	"FRIENDS"	"3078"	35	54	0	1	0	0	2	1

"3079-1"	"Same Room"	"F"	"3X"	"CHINESE"	"BACHELOR"	"ANALYST"	"ENGLISH"	"CHINESE"	"3079-2"	"FRIENDS"	"3079"	57	113	33	25	4	7	4	2

"3079-2"	"Same Room"	"F"	"2X"	"CHINESE"	"BACHELOR"	"ANALYST"	"ENGLISH"	"ENGLISH"	"3079-1"	"FRIENDS"	"3079"	108	208	49	28	7	14	9	11

"3081-1"	"Same Room"	"M"	"2X"	"CHINESE"	"BACHELOR"	"STUDENT"	"ENGLISH"	"ENGLISH"	"3081-2"	"FRIENDS"	"3081"	130	83	11	8	0	6	1	6

"3081-2"	"Same Room"	"F"	"2X"	"CHINESE"	"BACHELOR"	"STUDENT"	"ENGLISH"	"ENGLISH"	"3081-1"	"FRIENDS"	"3081"	102	57	4	9	2	1	5	30

"3082-1"	"Same Room"	"F"	"2X"	"CHINESE"	"BACHELOR"	"STUDENT"	"ENGLISH"	"ENGLISH"	"3082-2"	"PARTNER"	"3082"	5	23	0	0	0	0	0	0

"3082-2"	"Same Room"	"M"	"2X"	"CHINESE"	"BACHELOR"	"STUDENT"	"ENGLISH"	"ENGLISH"	"3082-1"	"PARTNER"	"3082"	11	1	0	1	0	0	0	0

"3083-1"	"Same Room"	"M"	"2X"	"CHINESE"	"BACHELOR"	"STUDENT"	"ENGLISH"	"CHINESE"	"3083-2"	"FRIENDS"	"3083"	114	172	8	9	0	10	4	5

"3083-2"	"Same Room"	"M"	"2X"	"CHINESE"	"BACHELOR"	"STUDENT"	"ENGLISH"	"ENGLISH"	"3083-1"	"FRIENDS"	"3083"	110	39	16	8	0	0	1	7

"3084-1"	"Same Room"	"M"	"2X"	"CHINESE"	"BACHELOR"	"STUDENT"	"ENGLISH"	"ENGLISH"	"3084-2"	"FRIENDS"	"3084"	186	126	12	26	4	2	13	4

"3084-2"	"Same Room"	"F"	"2X"	"CHINESE"	"BACHELOR"	"STUDENT"	"ENGLISH"	"CHINESE"	"3084-1"	"FRIENDS"	"3084"	107	28	11	9	0	2	12	2

"3085-1"	"Same Room"	"F"	"2X"	"CHINESE"	"BACHELOR"	"STUDENT"	"ENGLISH"	"ENGLISH"	"3085-2"	"FRIENDS"	"3085"	48	38	0	15	1	3	1	10

"3085-2"	"Same Room"	"F"	"2X"	"CHINESE"	"BACHELOR"	"STUDENT"	"ENGLISH"	"ENGLISH"	"3085-1"	"FRIENDS"	"3085"	95	36	0	16	0	3	5	12

"3086-1"	"Same Room"	"M"	"2X"	"CHINESE"	"BACHELOR"	"STUDENT"	"ENGLISH"	"ENGLISH"	"3086-2"	"PARTNER"	"3086"	32	19	2	1	0	0	4	1

"3086-2"	"Same Room"	"F"	"2X"	"CHINESE"	"BACHELOR"	"STUDENT"	"ENGLISH"	"ENGLISH"	"3086-1"	"PARTNER"	"3086"	42	28	8	7	1	1	8	0

"3087-1"	"Same Room"	"M"	"2X"	"CHINESE"	"BACHELOR"	"STUDENT"	"ENGLISH"	"CHINESE"	"3087-2"	"FRIENDS"	"3087"	23	8	0	1	0	2	0	0

"3087-2"	"Same Room"	"F"	"2X"	"CHINESE"	"BACHELOR"	"STUDENT"	"ENGLISH"	"CHINESE"	"3087-1"	"FRIENDS"	"3087"	16	6	0	1	0	0	0	0

"3088-1"	"Same Room"	"F"	"2X"	"CHINESE"	"BACHELOR"	"STUDENT"	"ENGLISH"	"CHINESE"	"3088-2"	"FRIENDS"	"3088"	102	59	4	24	18	8	0	25

"3088-2"	"Same Room"	"F"	"2X"	"CHINESE"	"BACHELOR"	"STUDENT"	"ENGLISH"	"CHINESE"	"3088-1"	"FRIENDS"	"3088"	93	101	15	7	1	8	2	11

"3089-1"	"Same Room"	"F"	"2X"	"CHINESE"	"BACHELOR"	"STUDENT"	"ENGLISH"	"ENGLISH"	"3089-2"	"FRIENDS"	"3089"	90	81	14	17	8	8	7	7

"3089-2"	"Same Room"	"F"	"2X"	"CHINESE"	"BACHELOR"	"STUDENT"	"ENGLISH"	"ENGLISH"	"3089-1"	"FRIENDS"	"3089"	78	45	3	13	3	2	11	4

"3090-1"	"Same Room"	"F"	"2X"	"CHINESE"	"BACHELOR"	"STUDENT"	"ENGLISH"	"ENGLISH"	"3090-2"	"FRIENDS"	"3090"	32	39	1	2	0	0	1	1

"3090-2"	"Same Room"	"F"	"2X"	"CHINESE"	"BACHELOR"	"STUDENT"	"ENGLISH"	"ENGLISH"	"3090-1"	"FRIENDS"	"3090"	51	47	11	9	0	1	5	1

"3091-1"	"Same Room"	"F"	"2X"	"CHINESE"	"BACHELOR"	"STUDENT"	"ENGLISH"	"ENGLISH"	"3091-2"	"FRIENDS"	"3091"	10	10	0	0	0	0	1	1

"3091-2"	"Same Room"	"F"	"1X"	"CHINESE"	"DIPLOMA"	"STUDENT"	"ENGLISH"	"ENGLISH"	"3091-1"	"FRIENDS"	"3091"	6	4	0	0	0	0	0	0

"3092-1"	"Same Room"	"F"	"2X"	"CHINESE"	"BACHELOR"	"STUDENT"	"ENGLISH,CHINESE"	"ENGLISH"	"3092-2"	"FRIENDS"	"3092"	61	63	8	2	0	0	0	1

"3092-2"	"Same Room"	"F"	"2X"	"CHINESE"	"BACHELOR"	"STUDENT"	"ENGLISH,CHINESE"	"ENGLISH"	"3092-1"	"FRIENDS"	"3092"	29	48	1	1	2	0	0	1

"3093-1"	"Same Room"	"M"	"3X"	"CHINESE"	"DIPLOMA"	"SALES "	"ENGLISH,CHINESE"	"CHINESE"	"3093-2"	"FRIENDS"	"3093"	88	109	4	5	0	11	0	0

"3093-2"	"Same Room"	"F"	"4X"	"CHINESE"	"DIPLOMA"	"HEALTHCARE"	"ENGLISH,CHINESE"	"ENGLISH"	"3093-1"	"FRIENDS"	"3093"	100	132	7	19	11	1	0	0

"3094-1"	"Same Room"	"F"	"2X"	"CHINESE"	"BACHELOR"	"STUDENT"	"ENGLISH,CHINESE"	"ENGLISH"	"3094-2"	"FRIENDS"	"3094"	96	148	28	29	0	3	10	105

"3094-2"	"Same Room"	"M"	"2X"	"CHINESE"	"BACHELOR"	"STUDENT"	"ENGLISH,CHINESE"	"ENGLISH"	"3094-1"	"FRIENDS"	"3094"	50	137	6	20	2	3	3	23

"3095-1"	"Same Room"	"M"	"2X"	"CHINESE"	"BACHELOR"	"STUDENT"	"ENGLISH,CHINESE"	"ENGLISH"	"3095-2"	"FRIENDS"	"3095"	191	102	7	5	7	8	1	2

"3095-2"	"Same Room"	"F"	"2X"	"CHINESE"	"BACHELOR"	"STUDENT"	"ENGLISH,CHINESE"	"CHINESE"	"3095-1"	"FRIENDS"	"3095"	28	45	4	2	1	0	1	2

"3096-1"	"Same Room"	"M"	"2X"	"CHINESE"	"BACHELOR"	"STUDENT"	"ENGLISH,CHINESE"	"ENGLISH"	"3096-2"	"PARTNER"	"3096"	101	123	14	5	0	3	6	10

"3096-2"	"Same Room"	"F"	"2X"	"CHINESE"	"BACHELOR"	"STUDENT"	"ENGLISH,CHINESE"	"ENGLISH"	"3096-1"	"PARTNER"	"3096"	27	73	30	12	0	2	5	1

"3097-1"	"Same Room"	"F"	"4X"	"CHINESE"	"O-LEVEL"	"HOMEMAKER"	"ENGLISH,CHINESE"	"ENGLISH"	"3097-2"	"FAMILY"	"3097"	1	0	0	0	0	0	0	0

"3097-2"	"Same Room"	"F"	"2X"	"CHINESE"	"BACHELOR"	"STUDENT"	"ENGLISH,CHINESE"	"ENGLISH"	"3097-1"	"FAMILY"	"3097"	4	1	0	0	0	0	0	0

"3098-1"	"Same Room"	"F"	"2X"	"CHINESE"	"BACHELOR"	"STUDENT"	"ENGLISH,CHINESE"	"CHINESE"	"3098-2"	"FRIENDS"	"3098"	17	67	1	4	0	0	2	1

"3098-2"	"Same Room"	"F"	"2X"	"CHINESE"	"BACHELOR"	"STUDENT"	"ENGLISH,CHINESE"	"ENGLISH"	"3098-1"	"FRIENDS"	"3098"	14	9	0	0	0	0	0	0

"3099-1"	"Same Room"	"F"	"2X"	"CHINESE"	"BACHELOR"	"STUDENT"	"ENGLISH,CHINESE"	"ENGLISH"	"3099-2"	"PARTNER"	"3099"	19	41	0	0	0	0	0	0

"3099-2"	"Same Room"	"M"	"2X"	"CHINESE"	"BACHELOR"	"STUDENT"	"ENGLISH,CHINESE"	"ENGLISH"	"3099-1"	"PARTNER"	"3099"	49	49	1	6	0	1	1	4

"3100-1"	"Same Room"	"F"	"2X"	"CHINESE"	"BACHELOR"	"STUDENT"	"ENGLISH,CHINESE"	"ENGLISH"	"3100-2"	"FRIENDS"	"3100"	48	32	3	8	2	3	11	1

"3100-2"	"Same Room"	"F"	"2X"	"CHINESE"	"BACHELOR"	"STUDENT"	"ENGLISH,CHINESE"	"ENGLISH"	"3100-1"	"FRIENDS"	"3100"	66	92	12	8	0	3	10	0

"3101-1"	"Same Room"	"F"	"2X"	"MALAY"	"DIPLOMA"	"STUDENT"	"ENGLISH,MALAY"	"ENGLISH"	"3101-2"	"FRIENDS"	"3101"	29	55	2	2	0	0	0	3

"3101-2"	"Same Room"	"F"	"2X"	"MALAY"	"DIPLOMA"	"STUDENT"	"ENGLISH,MALAY"	"ENGLISH"	"3101-1"	"FRIENDS"	"3101"	27	38	0	3	0	0	5	1

"3102-1"	"Same Room"	"M"	"3X"	"CHINESE"	"BACHELOR"	"ENGINEER"	"ENGLISH,CHINESE"	"ENGLISH"	"3102-2"	"PARTNER"	"3102"	26	45	1	3	1	1	4	0

"3102-2"	"Same Room"	"F"	"2X"	"CHINESE"	"BACHELOR"	"DESIGNER"	"ENGLISH,CHINESE"	"ENGLISH"	"3102-1"	"PARTNER"	"3102"	28	22	2	1	0	3	2	0

"3103-1"	"Same Room"	"F"	"2X"	"CHINESE"	"BACHELOR"	"STUDENT"	"ENGLISH,CHINESE"	"ENGLISH"	"3103-2"	"FRIENDS"	"3103"	26	42	2	2	0	0	6	6

"3103-2"	"Same Room"	"M"	"2X"	"CHINESE"	"BACHELOR"	"STUDENT"	"ENGLISH,CHINESE"	"ENGLISH"	"3103-1"	"FRIENDS"	"3103"	23	40	1	4	0	0	2	0

"3105-1"	"Same Room"	"F"	"2X"	"CHINESE"	"BACHELOR"	"N/A"	"ENGLISH"	"ENGLISH"	"3105-2"	"PARTNER"	"3105"	11	21	4	1	0	0	0	0

"3105-2"	"Same Room"	"M"	"2X"	"CHINESE"	"BACHELOR"	"N/A"	"ENGLISH"	"ENGLISH"	"3105-1"	"PARTNER"	"3105"	10	8	0	0	0	0	0	0

"3106-1"	"Same Room"	"F"	"2X"	"CHINESE"	"BACHELOR"	"N/A"	"ENGLISH"	"ENGLISH"	"3106-2"	"FRIENDS"	"3106"	25	6	7	3	1	0	0	0

"3106-2"	"Same Room"	"F"	"2X"	"CHINESE"	"BACHELOR"	"N/A"	"ENGLISH"	"ENGLISH"	"3106-1"	"FRIENDS"	"3106"	19	11	4	1	0	0	2	0

"3107-1"	"Same Room"	"F"	"3X"	"INDIAN"	"BACHELOR"	"N/A"	"ENGLISH"	"ENGLISH"	"3107-2"	"FAMILY"	"3107"	13	21	0	1	0	0	0	0

"3107-2"	"Same Room"	"F"	"5X"	"INDIAN"	"O-LEVEL"	"N/A"	"ENGLISH"	"ENGLISH"	"3107-1"	"FAMILY"	"3107"	44	35	0	0	0	0	0	0

"3108-1"	"Same Room"	"F"	"2X"	"MALAY"	"BACHELOR"	"N/A"	"ENGLISH,MALAY"	"ENGLISH"	"3108-2"	"PARTNER"	"3108"	11	14	1	1	0	0	0	0

"3108-2"	"Same Room"	"M"	"2X"	"MALAY"	"BACHELOR"	"N/A"	"ENGLISH,MALAY"	"ENGLISH"	"3108-1"	"PARTNER"	"3108"	31	18	3	0	0	0	0	0

"3109-1"	"Same Room"	"F"	"2X"	"CHINESE"	"BACHELOR"	"N/A"	"ENGLISH"	"ENGLISH"	"3109-2"	"PARTNER"	"3109"	89	58	32	17	3	5	15	2

"3109-2"	"Same Room"	"M"	"2X"	"CHINESE"	"BACHELOR"	"N/A"	"ENGLISH"	"CHINESE"	"3109-1"	"PARTNER"	"3109"	154	87	17	11	3	0	8	0

"3110-1"	"Same Room"	"F"	"2X"	"CHINESE"	"BACHELOR"	"N/A"	"ENGLISH"	"ENGLISH"	"3110-2"	"FRIENDS"	"3110"	58	54	12	17	1	1	6	13

"3110-2"	"Same Room"	"M"	"2X"	"CHINESE"	"BACHELOR"	"N/A"	"ENGLISH"	"CHINESE"	"3110-1"	"FRIENDS"	"3110"	19	5	0	0	0	0	0	0

"3111-1"	"Same Room"	"F"	"2X"	"CHINESE"	"BACHELOR"	"N/A"	"ENGLISH"	"ENGLISH"	"3111-2"	"PARTNER"	"3111"	61	73	3	7	2	1	16	11

"3111-2"	"Same Room"	"M"	"2X"	"CHINESE"	"BACHELOR"	"N/A"	"ENGLISH"	"ENGLISH"	"3111-1"	"PARTNER"	"3111"	98	68	5	4	3	1	16	10

"3112-1"	"Same Room"	"M"	"3X"	"CHINESE"	"BACHELOR"	"N/A"	"ENGLISH"	"CHINESE"	"3112-2"	"FAMILY"	"3112"	125	163	14	17	4	2	6	1

"3112-2"	"Same Room"	"F"	"2X"	"CHINESE"	"BACHELOR"	"N/A"	"ENGLISH"	"CHINESE"	"3112-1"	"FAMILY"	"3112"	123	88	9	38	7	2	4	13

"3113-1"	"Same Room"	"F"	"3X"	"CHINESE"	"DIPLOMA"	"N/A"	"ENGLISH"	"ENGLISH"	"3113-2"	"FAMILY"	"3113"	13	27	1	1	1	0	0	0

"3113-2"	"Same Room"	"F"	"2X"	"CHINESE"	"BACHELOR"	"N/A"	"ENGLISH"	"ENGLISH"	"3113-1"	"FAMILY"	"3113"	70	62	7	7	5	5	0	0

"3114-1"	"Same Room"	"F"	"2X"	"CHINESE"	"BACHELOR"	"N/A"	"ENGLISH"	"ENGLISH"	"3114-2"	"FRIENDS"	"3114"	55	54	3	3	0	1	0	1

"3114-2"	"Same Room"	"F"	"2X"	"CHINESE"	"BACHELOR"	"N/A"	"ENGLISH"	"ENGLISH"	"3114-1"	"FRIENDS"	"3114"	19	15	6	0	0	0	2	2

"3115-1"	"Same Room"	"F"	"3X"	"CHINESE"	"BACHELOR"	"N/A"	"ENGLISH"	"CHINESE"	"3115-2"	"FRIENDS"	"3115"	76	58	11	19	2	7	4	1

"3115-2"	"Same Room"	"F"	"3X"	"CHINESE"	"BACHELOR"	"N/A"	"ENGLISH"	"CHINESE"	"3115-1"	"FRIENDS"	"3115"	22	51	2	5	0	0	2	1

"3116-1"	"Same Room"	"F"	"2X"	"CHINESE"	"BACHELOR"	"N/A"	"ENGLISH"	"ENGLISH"	"3116-2"	"FRIENDS"	"3116"	137	65	21	20	5	23	9	2

"3116-2"	"Same Room"	"F"	"2X"	"CHINESE"	"BACHELOR"	"N/A"	"ENGLISH"	"ENGLISH"	"3116-1"	"FRIENDS"	"3116"	115	46	2	8	1	0	0	2

"3117-1"	"Same Room"	"M"	"4X"	"CHINESE"	"BACHELOR"	"N/A"	"ENGLISH"	"ENGLISH"	"3117-2"	"FRIENDS"	"3117"	75	37	1	10	1	2	0	0

"3117-2"	"Same Room"	"F"	"5X"	"CHINESE"	"O-LEVEL"	"N/A"	"ENGLISH"	"ENGLISH"	"3117-1"	"FRIENDS"	"3117"	2	9	3	0	0	0	0	0

"3118-1"	"Same Room"	"M"	"2X"	"CHINESE"	"BACHELOR"	"STUDENT"	"ENGLISH"	"ENGLISH"	"3118-2"	"FRIENDS"	"3118"	25	26	3	1	0	0	0	0

"3118-2"	"Same Room"	"F"	"2X"	"CHINESE"	"BACHELOR"	"STUDENT"	"ENGLISH"	"ENGLISH"	"3118-1"	"FRIENDS"	"3118"	43	90	13	2	1	1	0	2

"3119-1"	"Same Room"	"M"	"1X"	"CHINESE"	"DIPLOMA"	"STUDENT"	"ENGLISH"	"ENGLISH"	"3119-2"	"FRIENDS"	"3119"	45	38	7	5	2	0	2	2

"3119-2"	"Same Room"	"M"	"1X"	"CHINESE"	"DIPLOMA"	"STUDENT"	"ENGLISH"	"ENGLISH"	"3119-1"	"FRIENDS"	"3119"	209	139	10	11	0	0	7	8

"3120-1"	"Same Room"	"F"	"3X"	"CHINESE"	"DIPLOMA"	"N/A"	"ENGLISH"	"ENGLISH"	"3120-2"	"FRIENDS"	"3120"	77	100	14	42	1	4	16	5

"3120-2"	"Same Room"	"F"	"3X"	"CHINESE"	"DIPLOMA"	"N/A"	"ENGLISH"	"ENGLISH"	"3120-1"	"FRIENDS"	"3120"	37	13	0	24	0	1	3	1

"3121-1"	"Same Room"	"F"	"2X"	"MALAY"	"BACHELOR"	"STUDENT"	"ENGLISH"	"ENGLISH"	"3121-2"	"FRIENDS"	"3121"	36	19	1	2	0	0	0	2

"3121-2"	"Same Room"	"F"	"2X"	"INDIAN"	"BACHELOR"	"STUDENT"	"ENGLISH"	"ENGLISH"	"3121-1"	"FRIENDS"	"3121"	37	5	1	0	0	0	1	0

"3122-1"	"Same Room"	"F"	"5X"	"CHINESE"	"DIPLOMA"	"N/A"	"ENGLISH"	"ENGLISH"	"3122-2"	"FRIENDS"	"3122"	35	35	1	0	0	0	0	0

"3122-2"	"Same Room"	"F"	"6X"	"CHINESE"	"DIPLOMA"	"RETIRED"	"ENGLISH"	"ENGLISH"	"3122-1"	"FRIENDS"	"3122"	38	19	2	1	5	2	0	1

"3123-1"	"Same Room"	"F"	"3X"	"CHINESE"	"BACHELOR"	"PART-TIME"	"ENGLISH"	"ENGLISH"	"3123-2"	"FRIENDS"	"3123"	2	5	0	2	0	0	4	0

"3123-2"	"Same Room"	"F"	"3X"	"MALAY"	"BACHELOR"	"PART-TIME"	"ENGLISH"	"ENGLISH"	"3123-1"	"FRIENDS"	"3123"	3	4	0	0	0	0	0	0

"3124-1"	"Same Room"	"M"	"2X"	"CHINESE"	"BACHELOR"	"STUDENT"	"ENGLISH"	"CHINESE"	"3124-2"	"FRIENDS"	"3124"	73	144	13	33	2	0	4	1

"3124-2"	"Same Room"	"F"	"2X"	"CHINESE"	"BACHELOR"	"STUDENT"	"ENGLISH"	"ENGLISH"	"3124-1"	"FRIENDS"	"3124"	35	75	4	10	0	0	2	2

"3125-1"	"Same Room"	"M"	"3X"	"CHINESE"	"BACHELOR"	"EXECUTIVE"	"ENGLISH"	"CHINESE"	"3125-2"	"FRIENDS"	"3125"	64	36	0	6	0	0	7	1

"3125-2"	"Same Room"	"F"	"2X"	"CHINESE"	"BACHELOR"	"SELF-EMPLOYED"	"ENGLISH"	"CHINESE"	"3125-1"	"FRIENDS"	"3125"	58	99	5	8	1	2	3	1

"3126-1"	"Same Room"	"F"	"2X"	"CHINESE"	"BACHELOR"	"STUDENT"	"ENGLISH"	"CHINESE"	"3126-2"	"FRIENDS"	"3126"	3	5	2	3	0	1	0	0

"3126-2"	"Same Room"	"F"	"2X"	"CHINESE"	"BACHELOR"	"STUDENT"	"ENGLISH"	"CHINESE"	"3126-1"	"FRIENDS"	"3126"	3	5	0	0	0	0	0	0

"3127-1"	"Same Room"	"M"	"2X"	"CHINESE"	"BACHELOR"	"STUDENT"	"ENGLISH"	"ENGLISH"	"3127-2"	"FRIENDS"	"3127"	85	134	5	5	1	0	3	1

"3127-2"	"Same Room"	"F"	"2X"	"CHINESE"	"BACHELOR"	"N/A"	"ENGLISH"	"CHINESE"	"3127-1"	"FRIENDS"	"3127"	70	62	16	16	1	3	5	1

"3128-1"	"Same Room"	"F"	"3X"	"CHINESE"	"BACHELOR"	"STUDENT"	"ENGLISH"	"ENGLISH"	"3128-2"	"FRIENDS"	"3128"	13	6	0	1	0	0	1	0

"3128-2"	"Same Room"	"M"	"3X"	"MALAY"	"DIPLOMA"	"MILITARY"	"ENGLISH"	"MALAY"	"3128-1"	"FRIENDS"	"3128"	22	9	0	0	0	0	1	0

"3129-1"	"Same Room"	"F"	"2X"	"CHINESE"	"BACHELOR"	"STUDENT"	"ENGLISH"	"ENGLISH"	"3129-2"	"PARTNER"	"3129"	37	30	6	1	2	3	1	1

"3129-2"	"Same Room"	"M"	"3X"	"MALAY"	"DIPLOMA"	"MILITARY"	"ENGLISH"	"ENGLISH"	"3129-1"	"PARTNER"	"3129"	132	83	3	11	1	0	5	9

"3130-1"	"Same Room"	"F"	"1X"	"CHINESE"	"O-LEVEL"	"STUDENT"	"ENGLISH"	"CHINESE"	"3130-2"	"FAMILY"	"3130"	10	27	7	0	0	0	0	1

"3130-2"	"Same Room"	"F"	"2X"	"CHINESE"	"BACHELOR"	"STUDENT"	"ENGLISH"	"CHINESE"	"3130-1"	"FAMILY"	"3130"	44	27	8	22	5	0	3	2

"3131-1"	"Same Room"	"F"	"3X"	"CHINESE"	"BACHELOR"	"STUDENT"	"ENGLISH"	"ENGLISH"	"3131-2"	"FRIENDS"	"3131"	31	60	4	0	0	0	1	1

"3131-2"	"Same Room"	"F"	"3X"	"CHINESE"	"BACHELOR"	"STUDENT"	"ENGLISH"	"ENGLISH"	"3131-1"	"FRIENDS"	"3131"	26	41	3	5	0	4	3	0

"3132-1"	"Same Room"	"F"	"3X"	"INDIAN"	"BACHELOR"	"STUDENT"	"ENGLISH"	"ENGLISH"	"3132-2"	"FRIENDS"	"3132"	19	40	3	12	0	1	3	0

