"SCD"	"Transcripts"	"Gender"	"Age"	"Ethnicity"	"Education"	"Occupation"	"Languages"	"First.Lang"	"Partner.ID"	"Relationship"	"conv"	"ah"	"lah"	"lor"	"leh"	"hor"	"mah"	"meh"	"sia"
"3015-1"	"Same Room"	"F"	"2X"	"CHINESE"	"BACHELOR"	"MICE"	"ENGLISH, CHINESE"	"ENGLISH"	"3015-2"	"FAMILY"	"3015"	36	71	2	7	1	1	4	2

"3015-2"	"Same Room"	"M"	"2X"	"CHINESE"	"DIPLOMA"	"STUDENT"	"ENGLISH, CHINESE"	"ENGLISH"	"3015-1"	"FAMILY"	"3015"	42	42	4	5	2	0	3	1

"3016-1"	"Same Room"	"M"	"2X"	"CHINESE"	"BACHELOR"	"STUDENT"	"ENGLISH, CHINESE"	"ENGLISH"	"3016-2"	"FRIENDS"	"3016"	12	1	0	0	0	0	0	0

"3016-2"	"Same Room"	"M"	"2X"	"CHINESE"	"DIPLOMA"	"STUDENT"	"ENGLISH, CHINESE"	"ENGLISH"	"3016-1"	"FRIENDS"	"3016"	29	1	0	0	0	0	0	0

"3017-1"	"Same Room"	"F"	"2X"	"CHINESE"	"DIPLOMA"	"STUDENT"	"ENGLISH, CHINESE"	"ENGLISH"	"3017-2"	"FRIENDS"	"3017"	149	70	24	23	14	12	2	27

"3017-2"	"Same Room"	"F"	"2X"	"CHINESE"	"DIPLOMA"	"STUDENT"	"ENGLISH, CHINESE"	"ENGLISH"	"3017-1"	"FRIENDS"	"3017"	45	33	15	24	0	1	2	1

"3018-1"	"Same Room"	"F"	"2X"	"CHINESE"	"DIPLOMA"	"DESIGNER"	"ENGLISH, CHINESE"	"ENGLISH"	"3018-2"	"FRIENDS"	"3018"	118	63	5	27	1	22	15	4

"3018-2"	"Same Room"	"F"	"2X"	"CHINESE"	"DIPLOMA"	"ADMINISTRATION"	"ENGLISH, CHINESE"	"ENGLISH"	"3018-1"	"FRIENDS"	"3018"	155	120	26	66	24	12	22	52

"3019-1"	"Same Room"	"F"	"2X"	"CHINESE"	"DIPLOMA"	"STUDENT"	"ENGLISH, CHINESE"	"ENGLISH"	"3019-2"	"FRIENDS"	"3019"	95	101	35	9	6	3	2	5

"3019-2"	"Same Room"	"M"	"2X"	"INDIAN"	"DIPLOMA"	"STUDENT"	"ENGLISH, OTHER"	"ENGLISH"	"3019-1"	"FRIENDS"	"3019"	52	37	10	1	0	7	6	6

"3020-2"	"Same Room"	"M"	"2X"	"INDIAN"	"DIPLOMA"	"STUDENT"	"ENGLISH, MALAY"	"ENGLISH"	"3020-1"	"FRIENDS"	"3020"	19	4	0	1	0	0	0	0

"3021-1"	"Same Room"	"M"	"2X"	"CHINESE"	"DIPLOMA"	"UNEMPLOYED"	"ENGLISH, CHINESE"	"ENGLISH"	"3021-2"	"FRIENDS"	"3021"	84	29	4	3	5	0	0	0

"3021-2"	"Same Room"	"M"	"2X"	"CHINESE"	"DIPLOMA"	"STUDENT"	"ENGLISH, CHINESE"	"ENGLISH"	"3021-1"	"FRIENDS"	"3021"	48	17	0	0	0	0	0	0

"3022-1"	"Same Room"	"M"	"2X"	"CHINESE"	"BACHELOR"	"STUDENT"	"ENGLISH, CHINESE"	"ENGLISH"	"3022-2"	"FRIENDS"	"3022"	12	19	2	2	0	0	0	0

"3022-2"	"Same Room"	"M"	"2X"	"CHINESE"	"POSTGRADUATE"	"STUDENT"	"ENGLISH, CHINESE"	"ENGLISH"	"3022-1"	"FRIENDS"	"3022"	47	59	7	6	0	2	4	0

"3023-1"	"Same Room"	"F"	"5X"	"CHINESE"	"POSTGRADUATE"	"TECHNICIAN"	"ENGLISH, CHINESE"	"ENGLISH"	"3023-2"	"FAMILY"	"3023"	16	10	0	0	0	1	2	0

"3023-2"	"Same Room"	"F"	"5X"	"CHINESE"	"DIPLOMA"	"RETIRED"	"ENGLISH, CHINESE"	"ENGLISH"	"3023-1"	"FAMILY"	"3023"	15	19	1	1	0	1	0	0

"3024-1"	"Same Room"	"F"	"2X"	"CHINESE"	"A-LEVEL"	"STUDENT"	"ENGLISH, CHINESE"	"ENGLISH"	"3024-2"	"FRIENDS"	"3024"	75	54	14	7	0	0	12	4

